idx,frame_idx,time_s,x1,y1,x2,y2,score,label,crop_relpath
0,1,0.000,244,373,319,525,0.8604,0,
1,1,0.000,732,408,799,544,0.8518,0,
2,1,0.000,541,342,629,465,0.8367,0,
3,1,0.000,1065,219,1119,334,0.7291,0,
4,1,0.000,448,181,513,293,0.6309,0,
5,1,0.000,625,152,689,258,0.5221,0,
6,1,0.000,717,179,813,304,0.5114,0,
7,61,1.000,430,352,509,443,0.7913,0,
8,61,1.000,566,245,646,342,0.5795,0,
9,61,1.000,197,254,289,349,0.5783,0,
10,61,1.000,1202,254,1273,361,0.3230,0,
11,61,1.000,584,182,673,263,0.3052,0,
12,121,2.000,1023,366,1090,507,0.8395,0,
13,121,2.000,377,305,465,417,0.8156,0,
14,121,2.000,804,248,857,377,0.7248,0,
15,121,2.000,220,262,282,381,0.6680,0,
16,121,2.000,243,125,300,229,0.6158,0,
17,121,2.000,976,647,1039,720,0.4518,0,
